STATE_NAME,HOUSE_OF_PARLIAMENT,TENURE,Sno,MP_NAME,HOUSE_NAME,CONSTITUENCY,ALLOCATED_AMT,TENURE_START_DATE,TENURE_END_DATE,Total_Amt,allocated_amount,state,constituency,mp_name,work_id,work_recommendation_dtl_id
Maharashtra,2,18th Lok Sabha,1.0,AASHTIKAR PATIL NAGESH BAPURAO,Lok Sabha,HINGOLI,190289442.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,190362263.08,Maharashtra,HINGOLI,AASHTIKAR PATIL NAGESH BAPURAO,,
Jammu And Kashmir,2,18th Lok Sabha,2.0,ABDUL RASHID SHEIKH,Lok Sabha,BARAMULLAH,154773472.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,154832701.73,Jammu And Kashmir,BARAMULLAH,ABDUL RASHID SHEIKH,,
Bihar,2,18th Lok Sabha,3.0,ABHAY KUMAR SINHA,Lok Sabha,AURANGABAD_BR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA,,
West Bengal,2,18th Lok Sabha,4.0,ABHIJIT GANGOPADHYAY,Lok Sabha,TAMLUK,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,TAMLUK,ABHIJIT GANGOPADHYAY,,
West Bengal,2,18th Lok Sabha,5.0,Abu Taher Khan,Lok Sabha,MURSHIDABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,MURSHIDABAD,Abu Taher Khan,,
West Bengal,2,18th Lok Sabha,6.0,ADHIKARI SOUMENDU,Lok Sabha,KANTHI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,KANTHI,ADHIKARI SOUMENDU,,
Uttar Pradesh,2,18th Lok Sabha,7.0,ADITYA YADAV,Lok Sabha,BADAUN,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,BADAUN,ADITYA YADAV,,
Kerala,2,18th Lok Sabha,8.0,Adv Adoor Prakash ,Lok Sabha,ATTINGAL,151320377.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,151378285.28,Kerala,ATTINGAL,Adv Adoor Prakash ,,
Kerala,2,18th Lok Sabha,9.0,Adv Dean Kuriakose,Lok Sabha,IDUKKI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Kerala,IDUKKI,Adv Dean Kuriakose,,
Maharashtra,2,18th Lok Sabha,10.0,ADV GOWAAL KAGADA PADAVI,Lok Sabha,NANDURBAR(ST),147816309.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147872876.32,Maharashtra,NANDURBAR(ST),ADV GOWAAL KAGADA PADAVI,,
Kerala,2,18th Lok Sabha,11.0,ADV K FRANCIS GEORGE,Lok Sabha,KOTTAYAM,188722256.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,188794477.45,Kerala,KOTTAYAM,ADV K FRANCIS GEORGE,,
Uttar Pradesh,2,18th Lok Sabha,12.0,AFZAL ANSARI,Lok Sabha,GHAZIPUR,220500000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,220584382.23,Uttar Pradesh,GHAZIPUR,AFZAL ANSARI,,
