Sr. No.,Work Category,Work,State,IDA,Work Description,Hon'ble Members of Parliament,Constituency,Image,Completion Date,Amount Disbursed ( ₹ ),work_id,work_category,completed_disbursed_amount,completion_date,state,constituency,mp_name,description,has_image
1,Normal/Others,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Pradeep Kumar Singh,ARARIA,,05-Sep-2024,229692.65,WS/MP418/2024-2025/133409,Normal/Others,229692.65,2024-09-05,BIHAR,ARARIA,PRADEEP KUMAR SINGH,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",False
2,Normal/Others,WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133691,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),False
3,Normal/Others,"WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",Shri NK Premachandran,KOLLAM,,12-Aug-2024,150432.7,WS/MP345/2024-2025/134140,Normal/Others,150432.7,2024-08-12,KERALA,KOLLAM,SHRI NK PREMACHANDRAN,"Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",False
4,Normal/Others,WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133686,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,False
5,Normal/Others,WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133690,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,False
6,Normal/Others,WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Rauwala,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133689,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,False
7,Normal/Others,WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),"Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.",Shri NK Premachandran,KOLLAM,Images,28-Oct-2024,606149.08,WS/MP345/2024-2025/134143,Normal/Others,606149.08,2024-10-28,KERALA,KOLLAM,SHRI NK PREMACHANDRAN,"Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.",True
8,Normal/Others,WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities,Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach),Shri NK Premachandran,KOLLAM,,17-Aug-2024,173473.37,WS/MP345/2024-2025/134144,Normal/Others,173473.37,2024-08-17,KERALA,KOLLAM,SHRI NK PREMACHANDRAN,Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach),False
9,Normal/Others,WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,153768.45,WS/MP18152/2024-2025/133694,Normal/Others,153768.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,False
10,Normal/Others,WS/MP18152/2024-2025/133696-Installing community drinking water plants,Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Installation of RO System and water cooler in Govt Primary school Pakka No.4,SARABJEET SINGH KHALSA,FARIDKOT(SC),,07-Apr-2025,43311.45,WS/MP18152/2024-2025/133696,Normal/Others,43311.45,2025-04-07,PUNJAB,FARIDKOT(SC),SARABJEET SINGH KHALSA,Installation of RO System and water cooler in Govt Primary school Pakka No.4,False
